2.21.Key,00.02.Site Name,00.04.State,00.03.Region,TIPO,STATUS,Prioridade,TITULO,DATA ,OBS,
2023.003618,PPVG90 - RP10,MG,TLE,,FEITO,,PPVG90 - RP10 (2023.003618),8/15/2023,52 - 40,
2023.002435,MRCA05 - MRCA09,RJ,TRJ,,FEITO,1,MRCA05 - MRCA09 (2023.002435),8/15/2023,26 - 27,
2022.003147,TYTY00 - VCVC00,CE,TNE,,FEITO,1,TYTY00 - VCVC00 (2022.003147),8/16/2023,30 - 46,
2022.003411,IWIW00 - MUREMW01,PE,TNE,,FEITO,2,IWIW00 - MUREMW01 (2022.003411),8/17/2023,42 - 25,
2022.003420,GUGU02 - GUGU04,PE,TNE,,FEITO,3,GUGU02 - GUGU04 (2022.003420),8/17/2023,"24,5 - 19,5",
2023.003611,SN-PARD09 - RP10,MG,TLE,,FEITO,1,SN-PARD09 - RP10 (2023.003611),8/17/2023,,
2023.003613,SN-ADRD01 - ADVG30,MG,TLE,W2115,FEITO,2,SN-ADRD01 - ADVG30 (2023.003613),8/17/2023,,
2023.001382,SFUB01 - SFMO01,SC,TSL,,FEITO,,SFUB01 - SFMO01 (2023.001382),8/18/2023,"37,5 - 38",
2023.001529,CYCY00 - CYCY01,CE,TNE,,FEITO,,CYCY00 - CYCY01 (2023.001529),8/18/2023,15 - 15,
2023.002778,TUCI09 - BUBOMW03,PA,TNO,,FEITO,,TUCI09 - BUBOMW03 (2023.002778),8/21/2023,,
2023.002779,BUBOMW03 - GOPA01,PA,TNO,,FEITO,,BUBOMW03 - GOPA01 (2023.002779),8/21/2023,,
2023.003404,SR-MRCA17 - MRCA10,RJ,TRJ,,FEITO,,SR-MRCA17 - MRCA10 (2023.003404),8/21/2023,35 - 29,
2023.003614,SN-PORD03 - POVG62,MG,TLE,,FEITO,,SN-PORD03 - POVG62 (2023.003614),8/21/2023,47 - 40,
2023.003597,SN-PCRD06-NLPCUR22,MG,TLE,,FEITO,,SN-PCRD06-NLPCUR22 (2023.003597),8/22/2023,,
2023.003059,4G-INOSJ1 - PNBMW01,MS,TCO,,FEITO,,4G-INOSJ1 - PNBMW01 (2023.003059),8/22/2023,,
2023.003401,SR-MCAE32-MCAE15,RJ,TRJ,,FEITO,,SR-MCAE32-MCAE15 (2023.003401),8/22/2023,21 - 38,
2023.000075,4G-PLUR70 - 4G-FRBG01,MG,TLE,,FEITO,,4G-PLUR70 - 4G-FRBG01 (2023.000075),8/23/2023,,
2022.001661,SR-UCUCJ3 - BEDMW01,PI,TNE,,FEITO,,SR-UCUCJ3 - BEDMW01 (2022.001661),8/23/2023,,
2023.000094,4G-PDFTG3 - RDBSMW02,TO,TCO,,FEITO,,4G-PDFTG3 - RDBSMW02 (2023.000094),8/23/2023,,
2019.004017,VTFS01 - CEFS01,BA,TNE,,FEITO,,VTFS01 - CEFS01 (2019.004017),8/24/2023,49-54,
2022.002974,JVRB01 - JVFP01,SC,TSL,,FEITO,1,JVRB01 - JVFP01 (2022.002974),8/25/2023,"23,5-39,5",
,OUFMW01,,,,FEITO,1,OUFMW01 (),8/25/2023,JUNTAR SCI,
2023.102980,AACE02 - IPPA02,PR,TSL,,FEITO,2,AACE02 - IPPA02 (2023.102980),8/25/2023,,
2023.003595,SN-MRRD02 - MOOMW01,MG,TLE,,FEITO,,SN-MRRD02 - MOOMW01 (2023.003595),8/25/2023,47 - 68,
2019.003261,PAUR02 - PAUR03,PA,TNO,,FEITO,1,PAUR02 - PAUR03 (2019.003261),8/28/2023,77-65,
2023.003617,PTCMW01 - PCUR17,MG,TLE,,FEITO,1,PTCMW01 - PCUR17 (2023.003617),8/28/2023,31-33,
2023.003583,SN-PLRD01 - CNUR01,MG,TLE,,FEITO,2,SN-PLRD01 - CNUR01 (2023.003583),8/28/2023,,
2022.003508,MCSB01 - SLIQJA01,SP,TSP,,FEITO,1,MCSB01 - SLIQJA01 (2022.003508),8/28/2023,,
2023.003620,IPVH08 - SRVH09,MG,TLE,,FEITO,1,IPVH08 - SRVH09 (2023.003620),8/29/2023,27-31,
2023.000625,SR-IOCE03 - IOTC02,SC,TSL,,FEITO,1,SR-IOCE03 - IOTC02 (2023.000625),8/29/2023,"38-37,3",
2023.003587,SN-URRD05 - URSJ11,MG,TLE,,FEITO,,SN-URRD05 - URSJ11 (2023.003587),8/29/2023,47-62,
2023.003588,SN-TYRD03 - SN-URRD05,MG,TLE,,FEITO,,SN-TYRD03 - SN-URRD05 (2023.003588),8/29/2023,48-48,
2023.003586,SN-NPRD03 - IDMMW01,MG,TLE,,FEITO,,SN-NPRD03 - IDMMW01 (2023.003586),8/29/2023,48-51,
